"ckId";"jId";"clicks";"landClicks";"orderValue"
"3179584976207230893";"1";"19";"com/de/others";"61.22"
"3179584976207230893";"2";"8";"com/others";"59.60"
"3179587219740441125";"1";"15";"com";"21.51"
"3179587219740441125";"2";"149";"com";"51.55"
"3179587523441596509";"1";"16";"com";"20.80"
"3179587523441596509";"2";"18";"com";"20.80"
"3179587730086573997";"1";"1";"com";"77.31"
"3179587730086573997";"2";"5";"com";"52.65"
"3179588195989855557";"1";"10";"com";"95.91"
"3179588195989855557";"2";"2";"com";"41.18"
"3179589090249022789";"1";"55";"com/de";"30.17"
"3179589090249022789";"2";"10";"com";"47.23"
"3179590804695956005";"1";"19";"com/others";"13.44"
"3179590804695956005";"2";"3";"com";"16.76"
"3179590972451338157";"1";"33";"com/de/others";"5.80"
"3179590972451338157";"2";"52";"com/others";"26.25"
"3179591233102164957";"1";"16";"com/de";"15.17"
"3179591233102164957";"2";"23";"com";"17.26"
"3179592109795579997";"1";"3";"com";"15.80"
"3179592109795579997";"2";"5";"com";"15.80"
"3179594155709956333";"1";"31";"com/others";"22.73"
"3179594155709956333";"2";"33";"com";"33.49"
"3179595095217289437";"1";"2";"com";"54.07"
"3179595095217289437";"2";"30";"com/others";"29.53"
"3179595199454118125";"1";"35";"com";"79.00"
"3179595199454118125";"2";"26";"com";"66.60"
"3179595237169306949";"1";"16";"com";"81.62"
"3179595237169306949";"2";"24";"com";"14.08"
"3179595649502950365";"1";"2";"com";"41.60"
"3179595649502950365";"2";"2";"com";"20.80"
"3179596807197964509";"1";"2";"com";"71.27"
"3179596807197964509";"2";"3";"com";"60.51"
"3179600503872961061";"1";"3";"com";"16.60"
"3179600503872961061";"2";"3";"com";"20.80"
"3179600628863219629";"1";"22";"com";"22.27"
"3179600628863219629";"2";"23";"com";"54.80"
"3179601151909697149";"1";"1";"com";"20.80"
"3179601151909697149";"2";"4";"com";"25.66"
"3179601312853540789";"1";"4";"com/others";"94.41"
"3179601312853540789";"2";"7";"com/others";"120.68"
"3179601715909366181";"1";"1";"com";"30.00"
"3179601715909366181";"2";"1";"com";"41.97"
"3179601968893006245";"1";"18";"com";"64.41"
"3179601968893006245";"2";"13";"com";"33.36"
"3179603845776938621";"1";"10";"com/others";"68.66"
"3179603845776938621";"2";"10";"com/others";"86.65"
"3179604872542556325";"1";"63";"com";"47.84"
"3179604872542556325";"2";"10";"com/others";"47.87"
"3179607021116733357";"1";"3";"com";"27.52"
"3179607021116733357";"2";"6";"others";"59.17"
"3179607192982534365";"1";"3";"com";"27.52"
"3179607192982534365";"2";"2";"com";"27.90"
"3179608105059096669";"1";"4";"com/others";"41.62"
"3179608105059096669";"2";"6";"com";"41.80"
"3179608141734090365";"1";"1";"com";"52.35"
"3179608141734090365";"2";"11";"com/others";"20.99"
"3179609068037734637";"1";"1";"com";"25.17"
"3179609068037734637";"2";"3";"com/others";"81.05"
"3179611854800435421";"1";"1";"com";"28.99"
"3179611854800435421";"2";"1";"com";"28.99"
"3179614244882616741";"1";"39";"com";"36.36"
"3179614244882616741";"2";"108";"com";"28.56"
"3179614570880709597";"1";"36";"com";"23.86"
"3179614570880709597";"2";"15";"com";"16.39"
"3179615293576057253";"1";"19";"com";"39.22"
"3179615293576057253";"2";"39";"com";"29.37"
"3179616553477880029";"1";"6";"com";"70.42"
"3179616553477880029";"2";"11";"com";"47.27"
"3179617032249292717";"1";"80";"com/de";"59.22"
"3179617032249292717";"2";"208";"com";"55.10"
"3179617123584448125";"1";"4";"com";"42.38"
"3179617123584448125";"2";"3";"com";"25.66"
"3179618692069589229";"1";"15";"com/de/others";"53.53"
"3179618692069589229";"2";"7";"com";"11.76"
"3179621185314895789";"1";"21";"com";"35.57"
"3179621185314895789";"2";"29";"com";"80.82"
"3179621792079690277";"1";"2";"com";"83.20"
"3179621792079690277";"2";"1";"com";"83.20"
"3179622432130473285";"1";"7";"com/de";"23.28"
"3179622432130473285";"2";"1";"com";"25.66"
"3179622779334964189";"1";"10";"com";"87.37"
"3179622779334964189";"2";"17";"com";"85.89"
"3179622955915155549";"1";"1";"com";"20.00"
"3179622955915155549";"2";"7";"com";"25.66"
"3179623176485212325";"1";"3";"com";"43.53"
"3179623176485212325";"2";"1";"others";"25.80"
"3179623383264395501";"1";"3";"com";"41.77"
"3179623383264395501";"2";"3";"com";"31.30"
"3179625615338770597";"1";"4";"com";"37.40"
"3179625615338770597";"2";"2";"com";"41.60"
"3179627422697920605";"1";"15";"com";"16.60"
"3179627422697920605";"2";"64";"com";"16.60"
"3179631199601570781";"1";"23";"com/de";"69.00"
"3179631199601570781";"2";"46";"com";"25.17"
"3179631873122898085";"1";"22";"com";"38.12"
"3179631873122898085";"2";"5";"com";"61.61"
"3179633146933031901";"1";"6";"com";"50.08"
"3179633146933031901";"2";"8";"com";"58.44"
"3179633235432847581";"1";"7";"com";"39.71"
"3179633235432847581";"2";"3";"com";"25.66"
"3179635288108447965";"1";"1";"com";"47.90"
"3179635288108447965";"2";"3";"com";"20.80"
"3179636598979444661";"1";"3";"com";"20.80"
"3179636598979444661";"2";"2";"com";"46.60"
"3179637378952214749";"1";"8";"com/others";"22.27"
"3179637378952214749";"2";"9";"com";"39.16"
"3179638569211805621";"1";"20";"com";"26.89"
"3179638569211805621";"2";"13";"com";"37.19"
"3179640419185070245";"1";"4";"com";"20.80"
"3179640419185070245";"2";"1";"com";"20.80"
"3179641667527378053";"1";"2";"com";"20.80"
"3179641667527378053";"2";"4";"com";"42.80"
"3179642289123244253";"1";"2";"com";"33.53"
"3179642289123244253";"2";"12";"com";"38.20"
"3179643078390583461";"1";"15";"com/de";"27.75"
"3179643078390583461";"2";"11";"com";"53.25"
"3179643136926286061";"1";"1";"com";"39.71"
"3179643136926286061";"2";"1";"com";"49.96"
"3179643479600930117";"1";"68";"com/de";"25.17"
"3179643479600930117";"2";"47";"com";"16.76"
"3179644553107869861";"1";"3";"com/others";"25.00"
"3179644553107869861";"2";"12";"com/others";"15.50"
"3179646082921543597";"1";"47";"com/others";"30.67"
"3179646082921543597";"2";"100";"com";"-15.83"
"3179646156170868957";"1";"2";"com";"64.45"
"3179646156170868957";"2";"27";"com";"70.88"
"3179648858409942965";"1";"81";"com";"64.04"
"3179648858409942965";"2";"6";"com";"19.75"
"3179649659018678693";"1";"51";"com/others";"50.80"
"3179649659018678693";"2";"3";"com";"25.18"
"3179649903865377757";"1";"1";"com";"97.65"
"3179649903865377757";"2";"4";"com";"28.99"
"3179650618155343173";"1";"26";"com/others";"63.41"
"3179650618155343173";"2";"61";"com/others";"47.00"
"3179652607010412637";"1";"12";"com";"20.17"
"3179652607010412637";"2";"100";"com";"32.64"
"3179653039208268933";"1";"1";"com";"44.33"
"3179653039208268933";"2";"19";"com/others";"23.51"
"3179654523891224997";"1";"19";"com/others";"37.40"
"3179654523891224997";"2";"4";"com";"30.18"
"3179657478493182045";"1";"33";"com";"22.27"
"3179657478493182045";"2";"15";"com";"30.01"
"3179660792563762309";"1";"11";"com";"17.52"
"3179660792563762309";"2";"10";"com";"16.60"
"3179660895559104429";"1";"3";"com/others";"22.56"
"3179660895559104429";"2";"3";"com";"25.66"
"3179661881606410405";"1";"27";"com/de";"41.46"
"3179661881606410405";"2";"3";"com";"36.09"
"3179663125485978757";"1";"1";"com";"41.60"
"3179663125485978757";"2";"14";"com";"55.12"
"3179663648045924589";"1";"79";"com";"41.93"
"3179663648045924589";"2";"13";"com";"33.36"
"3179666178821853605";"1";"10";"com/others";"23.11"
"3179666178821853605";"2";"8";"com";"25.17"
"3179666789025978461";"1";"1";"com";"47.73"
"3179666789025978461";"2";"1";"com";"25.66"
"3179667330611287677";"1";"21";"com/others";"75.17"
"3179667330611287677";"2";"30";"com";"70.97"
"3179668978922436829";"1";"1";"com";"20.80"
"3179668978922436829";"2";"1";"com";"25.66"
"3179669574865916325";"1";"4";"com/others";"27.40"
"3179669574865916325";"2";"2";"com";"22.02"
"3179670189247575981";"1";"2";"com/others";"30.25"
"3179670189247575981";"2";"3";"com";"16.75"
"3179671627625402789";"1";"14";"com/others";"33.22"
"3179671627625402789";"2";"4";"com";"30.76"
"3179672667762459781";"1";"57";"com";"20.17"
"3179672667762459781";"2";"74";"com";"20.59"
"3179673264276379741";"1";"6";"com";"15.50"
"3179673264276379741";"2";"2";"com";"26.00"
"3179674174876549357";"1";"9";"com";"73.12"
"3179674174876549357";"2";"8";"com";"75.54"
"3179675318176715173";"1";"111";"com/de/others";"20.80"
"3179675318176715173";"2";"25";"com";"25.00"
"3179675563442832517";"1";"24";"com/others";"59.25"
"3179675563442832517";"2";"23";"com/others";"29.02"
"3179675712424515677";"1";"1";"com";"27.73"
"3179675712424515677";"2";"1";"com";"25.66"
"3179676731673941629";"1";"2";"com";"31.30"
"3179676731673941629";"2";"4";"com";"38.53"
"3179676749256459397";"1";"25";"com/others";"41.60"
"3179676749256459397";"2";"3";"com";"29.16"
"3179679950399617245";"1";"19";"com";"102.57"
