ckId;jId;clicks;orderValue
141;2;3;25.66
142;1;17;25
142;2;30;37.56
143;1;28;27.59
143;2;75;58.62
144;1;5;52.78
144;2;31;73.59
145;1;1;41.6
145;2;2;16.76
146;1;1;28.99
146;2;6;22.56
147;1;3;20.8
147;2;5;20.8
148;1;18;9.27
148;2;1;-6.72
149;1;1;20.8
149;2;1;28.99
150;1;14;33.69
150;2;30;20.8
151;1;5;22.73
151;2;15;25.17
152;1;16;19.41
152;2;20;36.16
153;1;5;20.8
153;2;3;20.8
154;1;12;23.51
154;2;52;25.54
155;1;10;22.27
155;2;6;62.4
156;1;3;17.69
156;2;2;37.59
157;1;6;34.17
157;2;9;41.25
158;1;25;16.39
158;2;4;20.8
159;1;1;41.6
159;2;3;36.97
160;1;9;18.91
160;2;26;16.6
161;1;41;31.05
161;2;7;49.79
162;1;1;41.39
162;2;2;37.52
163;1;74;31.6
163;2;5;23.52
164;1;4;22.16
164;2;2;41.19
165;1;8;20.59
165;2;14;16.6
166;1;1;20.17
166;2;2;18.32
167;1;13;81.41
167;2;4;83.52
168;1;49;56
168;2;8;53
169;1;2;69
169;2;4;74.8
170;1;1;45.97
170;2;3;23.99
171;1;17;38.28
171;2;11;37.75
172;1;13;77.59
172;2;26;37.76
173;1;37;21.5
173;2;13;10.99
174;1;21;32.6
174;2;5;33.51
175;1;15;50
175;2;2;16.6
176;1;15;50.16
176;2;82;20.8
177;1;3;20.8
177;2;2;41.6
178;1;4;42.36
178;2;3;56.31
179;1;2;20.8
179;2;10;19.12
180;1;47;16.75
180;2;17;73.5
181;1;2;53.65
181;2;1;62.38
182;1;1;20.8
182;2;14;52.52
183;1;3;35.46
183;2;2;20.8
184;1;35;33.42
184;2;39;33.87
185;1;3;16.76
185;2;5;46.13
186;1;1;68.98
186;2;1;25
187;1;1;45.81
187;2;12;80.68
188;1;10;100.63
188;2;9;128.88
189;1;4;50.42
189;2;2;23.9
190;1;2;41.6
190;2;1;31.6
191;1;29;16.72
191;2;3;16.72
192;1;2;20.8
192;2;20;24.82
193;1;3;52.06
193;2;3;46.55
194;1;1;17.69
194;2;7;17.69
195;1;22;52.8
195;2;2;52.8
196;1;1;75.25
196;2;1;86.44
197;1;13;51.82
197;2;47;36.75
198;1;4;29.79
198;2;1;33.58
199;1;37;54.97
199;2;13;89.37
200;1;4;23.27
200;2;18;22.17
201;1;11;27.69
201;2;5;20.99
202;1;6;47.65
202;2;3;33.32
203;1;12;20.8
203;2;22;25.17
204;1;6;45.59
204;2;4;15.8
205;1;8;25.17
205;2;5;42.4
206;1;44;23.49
206;2;22;0.5
207;1;11;47.9
207;2;18;62.66
208;1;2;77.76
208;2;3;22.73
209;1;59;16.75
209;2;4;25
210;1;3;23.91
210;2;32;46.6
211;1;4;51.88
211;2;5;37.42
212;1;41;25.17
212;2;8;47.57
213;1;2;20.8
213;2;1;20.8
214;1;4;31.51
214;2;11;41.46
215;1;2;47.55
215;2;6;86.77
216;1;1;25.17
216;2;2;25.17
217;1;9;44.71
217;2;4;36.97
218;1;33;35.86
218;2;7;31.93
219;1;79;33.57
219;2;20;30.88
220;1;6;33.49
220;2;2;28.99
221;1;14;64.08
221;2;13;56.69
222;1;15;33.53
222;2;30;70.76
223;1;1;20.8
223;2;4;20.8
224;1;1;47.48
224;2;2;24.79
225;1;65;86.61
225;2;20;22.17
226;1;1;43.53
226;2;6;29.57
227;1;1;54.8
227;2;1;63.21
228;1;3;37.61
228;2;14;28.95
229;1;5;25
229;2;10;16.76
230;1;6;47.1
230;2;2;45.8
231;1;5;16.76
231;2;1;19.08
232;1;31;16.6
232;2;8;38.26
233;1;18;24.36
233;2;20;25.17
234;1;20;73.3
234;2;3;77.58
235;1;13;131.99
235;2;35;66.71
236;1;15;64.95
236;2;3;21.6
237;1;15;62.4
237;2;6;62.4
238;1;13;32.57
238;2;5;81.6
239;1;35;10.8
239;2;47;8.36
240;1;11;74.8
240;2;13;66.6
241;1;10;53.53
241;2;8;58.31
242;1;5;17.6
242;2;6;34.17
243;1;7;38.68
243;2;22;58.29
244;1;5;15.5
244;2;4;36.86
245;1;20;79.01
245;2;39;60.72
246;1;4;60.5
246;2;4;20.8
247;1;5;41.86
247;2;1;41.6
248;1;44;18.91
248;2;88;40.68
249;1;4;41.86
249;2;5;83.34
250;1;3;52.52
250;2;15;33.5
251;1;16;36.97
251;2;12;47.81
252;1;4;54.13
252;2;3;28.57
253;1;2;27.73
253;2;2;28.99
254;1;4;53.08
254;2;1;69.31
255;1;7;20.8
255;2;1;41.97
256;1;27;28.26
256;2;17;25.17
257;1;2;41.6
257;2;1;22.56
258;1;3;37.36
258;2;1;37.26
259;1;4;20.8
259;2;1;37.42
260;1;3;28.99
260;2;26;25
261;1;11;46.28
261;2;8;47.59
262;1;4;22.56
262;2;23;51.55
263;1;9;56.42
263;2;3;86.67
264;1;7;42.18
264;2;17;148.89
265;1;6;20.8
265;2;7;33.36
266;1;1;20.8
266;2;1;41.6
267;1;8;48.68
267;2;31;45.6
268;1;6;20.8
268;2;2;20.8
269;1;1;20.8
269;2;4;20.8
270;1;7;22.56
270;2;2;20.59
271;1;29;52.59
271;2;29;22.02
272;1;32;16.6
272;2;25;10.71
273;1;20;93.94
273;2;32;117.8
274;1;20;41.56
274;2;2;28.2
275;1;1;73.11
275;2;2;47.57
276;1;1;15.8
276;2;10;16.76
277;1;8;34.16
277;2;2;25.17
278;1;1;62.4
278;2;1;20.8
279;1;15;72.97
279;2;9;26.84
280;1;10;60.75
280;2;12;75.41
281;1;1;29.16
281;2;1;20.8
282;1;96;41.35
282;2;74;8.3
283;1;10;20.17
283;2;46;25
284;1;45;25.17
284;2;1;41.77
285;1;3;20.8
285;2;3;23.91
286;1;2;44.29
286;2;7;59.71
287;1;9;35.67
287;2;2;76.08
288;1;3;39.7
288;2;4;44.84
289;1;3;25.66
289;2;1;23.11
290;1;2;16.76
290;2;1;20.8
291;1;8;21.6
291;2;2;15.59
292;1;8;23.99
292;2;22;33.49
293;1;1;42.73
293;2;1;42.34
294;1;39;25.17
294;2;28;41.75
295;1;17;44.12
295;2;19;53.99
296;1;5;56.91
296;2;69;56.83
297;1;2;25.66
297;2;2;25
298;1;39;45.77
298;2;42;50.11
299;1;9;12.39
299;2;42;28.87
300;1;29;23.51
300;2;30;28.99
301;1;8;48.18
301;2;3;47.31
302;1;6;21.72
302;2;5;19.75
303;1;38;27.6
303;2;26;22.17
304;1;1;20.8
304;2;1;64.2
305;1;4;61.65
305;2;1;51.73
306;1;17;31.3
306;2;7;21.6
307;1;11;56.05
307;2;2;78.58
308;1;9;56.56
308;2;11;50.11
309;1;7;37.65
309;2;5;16.76
310;1;3;27.69
310;2;18;16.75
311;1;1;41.6
311;2;4;27.52
312;1;2;49.79
312;2;2;16.39
313;1;4;83.44
313;2;1;49.79
314;1;7;74.28
314;2;12;94.93
315;1;2;20.8
315;2;3;25.66
316;1;11;58.76
316;2;24;58.81
317;1;28;45.83
317;2;39;25.02
318;1;5;50.66
318;2;1;43.22
319;1;17;22.02
319;2;11;41.35
320;1;1;39.71
320;2;4;30.87
321;1;3;36.6
321;2;16;31.94
322;1;39;60.3
322;2;58;22.17
323;1;3;28.99
323;2;4;33.51
324;1;5;20.8
324;2;4;25.66
325;1;3;25.17
325;2;1;56.71
326;1;11;58.37
326;2;1;59.46
327;1;3;39.5
327;2;7;33.06
328;1;11;22.56
328;2;4;14.08
329;1;6;75.68
329;2;2;73.84
330;1;1;16.6
330;2;11;25.17
331;1;10;66.67
331;2;15;78.2
332;1;52;37.22
332;2;28;35.76
333;1;2;45.65
333;2;1;22.56
334;1;8;51.53
334;2;8;54.31
335;1;1;20.8
335;2;1;22.27
336;1;6;28.37
336;2;5;39.97
337;1;3;79.08
337;2;1;72.86
338;1;7;22.17
338;2;15;119.96
339;1;15;31.51
339;2;11;25.17
340;1;5;58.62
340;2;6;38.2
341;1;5;60.97
