ckId;jId;clicks;orderValue
2240;1;2;41.46
2240;2;1;62.35
2241;1;1;25.17
2241;2;5;20.99
2242;1;3;42.32
2242;2;1;42.32
2243;1;1;27.91
2243;2;2;23.99
2244;1;73;25.17
2244;2;20;16.6
2245;1;1;20.8
2245;2;2;37.09
2246;1;11;50
2246;2;4;30
2247;1;2;20.8
2247;2;3;22.56
2248;1;3;25.17
2248;2;1;50.08
2249;1;1;48.32
2249;2;1;33.49
2250;1;3;20.8
2250;2;1;39.89
2251;1;2;20.8
2251;2;3;20.8
2252;1;5;72.7
2252;2;7;32.95
2253;1;1;43.53
2253;2;3;60.83
2254;1;9;43.02
2254;2;1;27.52
2255;1;12;41.97
2255;2;7;41.97
2256;1;2;21.6
2256;2;4;41.6
2257;1;2;48.28
2257;2;9;20.8
2258;1;7;75.49
2258;2;4;41.6
2259;1;1;28.99
2259;2;3;33.49
2260;1;1;25.17
2260;2;4;25.17
2261;1;1;22.56
2261;2;1;20.8
2262;1;22;83.74
2262;2;5;25.17
2263;1;1;20.8
2263;2;1;25.17
2264;1;5;47
2264;2;3;50.34
2265;1;6;83.03
2265;2;1;68.39
2266;1;5;20.8
2266;2;2;22.56
2267;1;14;16.76
2267;2;3;33.51
2268;1;1;71.14
2268;2;1;74.96
2269;1;1;37.4
2269;2;1;20.99
2270;1;2;54
2270;2;6;41.8
2271;1;6;41.93
2271;2;12;33.49
2272;1;2;28.99
2272;2;2;20.8
2273;1;1;41.6
2273;2;1;16.6
2274;1;2;66.6
2274;2;3;66.76
2275;1;5;47.27
2275;2;1;25.02
2276;1;2;21.6
2276;2;21;21
2277;1;1;93.85
2277;2;2;105.79
2278;1;1;45.97
2278;2;1;33.2
2279;1;2;28.99
2279;2;3;22.56
2280;1;7;70.91
2280;2;8;26.05
2281;1;10;163.08
2281;2;1;179.68
2282;1;1;16.6
2282;2;3;21.6
2283;1;1;20.8
2283;2;1;20.8
2284;1;2;41.09
2284;2;2;25.66
2285;1;1;23.99
2285;2;51;25.17
2286;1;5;79
2286;2;2;152.06
2287;1;1;20.8
2287;2;3;15.8
2288;1;1;42.19
2288;2;2;39.16
2289;1;3;18.91
2289;2;4;20.8
2290;1;1;20.8
2290;2;1;23.91
2291;1;3;20.36
2291;2;2;30
2292;1;4;32.53
2292;2;1;23.53
2293;1;2;37.42
2293;2;1;21.6
2294;1;3;70.79
2294;2;1;74.96
2295;1;3;20.8
2295;2;5;15.8
2296;1;2;50.93
2296;2;1;30
2297;1;17;68.67
2297;2;31;58.68
2298;1;1;30
2298;2;2;31.47
2299;1;1;20.8
2299;2;1;46.6
2300;1;1;20.8
2300;2;2;20.8
2301;1;1;44.79
2301;2;3;37.83
2302;1;1;43.91
2302;2;2;39.71
2303;1;2;20.59
2303;2;1;25.66
2304;1;1;20.8
2304;2;8;20.8
2305;1;7;20.8
2305;2;5;36.65
2306;1;1;48.96
2306;2;7;75.12
2307;1;1;41.39
2307;2;6;50.8
2308;1;3;20.17
2308;2;8;37.56
2309;1;14;32.57
2309;2;11;41.78
2310;1;1;43.36
2310;2;3;66.64
2311;1;2;48.32
2311;2;2;56.09
2312;1;7;34.17
2312;2;2;50.78
2313;1;12;50.81
2313;2;3;27.73
2314;1;20;22.17
2314;2;45;22.17
2315;1;1;77.69
2315;2;4;30.17
2316;1;7;87.11
2316;2;2;49.96
2317;1;3;28.99
2317;2;18;68.7
2318;1;1;20.8
2318;2;10;56.47
2319;1;18;32.78
2319;2;45;119.78
2320;1;1;20.8
2320;2;33;41.6
2321;1;5;26
2321;2;4;53.69
2322;1;3;19.75
2322;2;3;33.2
2323;1;8;49.16
2323;2;9;44.37
2324;1;1;62.44
2324;2;4;25
2325;1;4;28.99
2325;2;1;21.6
2326;1;10;39.7
2326;2;3;16.6
2327;1;2;73.62
2327;2;6;25
2328;1;3;42.9
2328;2;2;30
2329;1;1;20.8
2329;2;5;10.5
2330;1;1;20.8
2330;2;3;25.17
2331;1;2;62.77
2331;2;1;28.99
2332;1;1;62.4
2332;2;1;62.4
2333;1;12;37.71
2333;2;8;25.17
2334;1;2;79.16
2334;2;4;73.09
2335;1;4;31.6
2335;2;8;54.86
2336;1;6;37.26
2336;2;9;43.87
2337;1;8;37.56
2337;2;1;23.9
2338;1;1;45.12
2338;2;4;54.83
2339;1;4;25.66
2339;2;1;25.66
2340;1;1;89.92
2340;2;3;74.86
2341;1;1;20.8
2341;2;1;20.8
2342;1;2;39.08
2342;2;2;62.4
2343;1;2;38.36
2343;2;4;50.34
2344;1;6;41.46
2344;2;4;51.93
2345;1;2;20.8
2345;2;2;44.12
2346;1;1;66.6
2346;2;6;74.8
2347;1;14;30.18
2347;2;3;30
2348;1;7;20.8
2348;2;1;20.8
2349;1;1;38.2
2349;2;1;37.56
2350;1;3;79.62
2350;2;3;70.97
2351;1;3;70.63
2351;2;1;21.6
2352;1;3;34.17
2352;2;3;35.46
2353;1;2;20.8
2353;2;3;58.22
2354;1;8;33.51
2354;2;3;58.38
2355;1;2;20.8
2355;2;1;31.6
2356;1;6;20.8
2356;2;4;11.76
2357;1;2;56.31
2357;2;3;50.18
2358;1;5;20.8
2358;2;2;32.69
2359;1;2;67.7
2359;2;6;60.23
2360;1;1;21.6
2360;2;1;20.8
2361;1;2;20.8
2361;2;2;83.54
2362;1;1;20.8
2362;2;2;62.4
2363;1;2;20.8
2363;2;5;25.8
2364;1;1;56.51
2364;2;2;33.49
2365;1;1;23.91
2365;2;7;21.72
2366;1;2;25.66
2366;2;4;33.04
2367;1;1;19.18
2367;2;1;16.76
2368;1;1;31.51
2368;2;4;23.11
2369;1;3;26.76
2369;2;3;35.67
2370;1;2;20.8
2370;2;1;25.66
2371;1;1;22.56
2371;2;4;25.66
2372;1;1;20.8
2372;2;2;25.66
2373;1;3;14.76
2373;2;1;25.66
2374;1;1;22.56
2374;2;2;16.76
2375;1;1;38.2
2375;2;1;27.52
2376;1;3;50.66
2376;2;1;27.52
2377;1;2;38.18
2377;2;3;29.37
2378;1;3;31.51
2378;2;3;66.26
2379;1;1;48.32
2379;2;2;48.32
2380;1;4;20.8
2380;2;1;30.01
2381;1;1;45.8
2381;2;1;47.73
2382;1;2;127.38
2382;2;4;95.16
2383;1;3;60.77
2383;2;1;23.9
2384;1;4;38.2
2384;2;1;21.6
2385;1;1;20.8
2385;2;4;20.8
2386;1;2;74.75
2386;2;2;45.8
2387;1;2;20.8
2387;2;1;16.76
2388;1;1;20.8
2388;2;3;41.79
2389;1;1;25.17
2389;2;1;46.16
2390;1;16;74.8
2390;2;5;16.6
2391;1;4;46.16
2391;2;2;41.6
2392;1;9;20.8
2392;2;9;35.5
2393;1;1;53.7
2393;2;1;20.8
2394;1;2;37.56
2394;2;1;22.56
2395;1;2;41.18
2395;2;19;48.49
2396;1;2;20.8
2396;2;1;20.8
2397;1;6;21.66
2397;2;1;23.9
2398;1;5;20.8
2398;2;1;21.6
2399;1;2;53.77
2399;2;2;33.57
2400;1;3;52.67
2400;2;19;34.17
2401;1;2;42.38
2401;2;4;20.87
2402;1;14;28.79
2402;2;7;20.99
2403;1;1;30
2403;2;3;30.18
2404;1;16;25.66
2404;2;2;16.76
2405;1;1;23.11
2405;2;3;21.6
2406;1;1;20.8
2406;2;4;20.8
2407;1;6;43.99
2407;2;1;59.49
2408;1;2;41.6
2408;2;2;32.69
2409;1;8;38.03
2409;2;2;22.27
2410;1;6;72.91
2410;2;1;16.76
2411;1;1;22.56
2411;2;1;41.6
2412;1;1;62.26
2412;2;1;59.91
2413;1;2;20.8
2413;2;2;41.6
2414;1;2;20.8
2414;2;1;20.8
2415;1;4;48.28
2415;2;3;41.63
2416;1;3;42.57
2416;2;4;46.22
2417;1;1;52.73
2417;2;1;52.73
2418;1;1;60.63
2418;2;4;54.54
2419;1;8;42.26
2419;2;3;28.99
2420;1;4;20.54
2420;2;19;33.49
2421;1;1;31.64
2421;2;3;39.7
2422;1;3;49.79
2422;2;2;33.49
2423;1;1;57.99
2423;2;1;16.76
2424;1;3;25.97
2424;2;2;62.26
2425;1;1;20.8
2425;2;4;25.66
2426;1;1;27.52
2426;2;2;20.8
2427;1;2;20.8
2427;2;14;41.66
2428;1;5;20.8
2428;2;4;22.56
2429;1;2;20.8
2429;2;1;25.66
2430;1;5;25.17
2430;2;2;50.18
2431;1;1;16.6
2431;2;4;23.91
2432;1;2;20.8
2432;2;3;16.76
2433;1;1;20.8
2433;2;1;20.8
2434;1;1;20.8
2434;2;10;33.49
2435;1;1;62.4
2435;2;1;25.8
2436;1;1;20.8
2436;2;1;23.91
2437;1;5;20.8
2437;2;3;25.66
2438;1;1;20.8
2438;2;5;23.91
2439;1;1;20.8
2439;2;1;41.46
2440;1;6;21.6
2440;2;11;20.8
2441;1;2;22.56
2441;2;4;50.66
2442;1;16;81.68
2442;2;6;76.71
2443;1;6;35.5
2443;2;4;29.61
2444;1;10;20.8
2444;2;23;25.66
2445;1;3;74.83
2445;2;3;32.77
2446;1;1;60.72
2446;2;2;60.72
2447;1;7;30.16
2447;2;4;30.17
2448;1;11;67.77
2448;2;1;36.65
2449;1;1;20.8
2449;2;1;26.38
2450;1;4;35.5
2450;2;14;27.46
2451;1;7;18.9
2451;2;2;20.8
2452;1;1;16.6
2452;2;2;23.11
2453;1;1;20.8
2453;2;2;20.8
2454;1;3;27.52
2454;2;2;33.49
2455;1;2;27.52
2455;2;5;28.99
2456;1;1;48.32
2456;2;3;75.11
2457;1;1;41.77
2457;2;1;27.52
2458;1;29;27.26
2458;2;16;35.67
2459;1;1;57.82
2459;2;8;45.35
2460;1;1;27.52
2460;2;7;22.73
2461;1;8;35.88
2461;2;56;74.88
2462;1;1;20.8
2462;2;1;23.91
2463;1;2;25.17
2463;2;10;45.97
2464;1;4;36.52
2464;2;6;51.68
2465;1;1;43.53
2465;2;5;46.63
2466;1;2;16.76
2466;2;1;16.6
2467;1;29;64.81
2467;2;5;71.43
2468;1;1;20.8
2468;2;1;20.8
2469;1;1;20.8
2469;2;1;20.8
2470;1;1;75.08
2470;2;1;20.8
2471;1;2;20.8
2471;2;2;23.9
2472;1;3;16.39
2472;2;1;22.27
2473;1;1;53.99
2473;2;2;25.66
2474;1;1;27.52
2474;2;1;20.8
2475;1;3;38.35
2475;2;3;39.49
2476;1;1;60.04
2476;2;1;48.32
2477;1;17;47.73
2477;2;1;21.6
2478;1;2;21.6
2478;2;5;16.76
2479;1;1;45.71
2479;2;5;78.96
2480;1;10;41.6
2480;2;1;46.32
2481;1;1;43.53
2481;2;1;23.99
2482;1;1;20.8
2482;2;7;21.6
2483;1;16;33.57
2483;2;9;21.6
2484;1;1;25.17
2484;2;1;25
2485;1;1;41.86
2485;2;1;38.54
2486;1;33;69.25
2486;2;9;34.71
2487;1;2;23.11
2487;2;2;23.11
2488;1;6;28.04
2488;2;9;20
2489;1;3;22.56
2489;2;2;20.8
2490;1;3;20.8
2490;2;12;41.6
2491;1;2;23.91
2491;2;4;23.91
2492;1;4;63.2
2492;2;3;39.45
2493;1;1;28.99
2493;2;1;18.9
2494;1;5;38.52
2494;2;6;25.17
2495;1;2;21.72
2495;2;32;30.08
2496;1;1;20.8
2496;2;2;16.76
2497;1;1;20.8
2497;2;3;33.52
2498;1;2;49.79
2498;2;1;50.13
2499;1;1;22.56
2499;2;6;20.99
2500;1;2;57.98
2500;2;3;50.17
2501;1;4;20.8
2501;2;6;53.32
2502;1;2;45.59
2502;2;4;33.2
2503;1;1;22.56
2503;2;2;36.05
2504;1;5;22.56
2504;2;10;33.49
2505;1;1;62.68
2505;2;2;22.56
2506;1;1;43.53
2506;2;1;49.79
2507;1;14;16.6
2507;2;6;31.97
2508;1;1;20.8
2508;2;3;41.09
2509;1;1;25.17
2509;2;1;45.97
2510;1;7;64.91
2510;2;1;37.73
2511;1;1;28.99
2511;2;7;74.75
2512;1;1;20.8
2512;2;3;50.17
2513;1;5;50.34
2513;2;6;62.49
2514;1;1;20.8
2514;2;1;21.6
2515;1;5;33.53
2515;2;3;21.66
2516;1;2;44.12
2516;2;8;61.95
2517;1;4;60.67
2517;2;2;70.63
2518;1;2;41.09
2518;2;2;56.96
2519;1;1;20.8
2519;2;2;37.4
2520;1;1;22.56
2520;2;4;25.66
2521;1;1;22.56
2521;2;2;18.9
2522;1;2;43.7
2522;2;3;43.36
2523;1;1;17.73
2523;2;2;34.17
2524;1;7;39.16
2524;2;13;49.54
2525;1;1;20.8
2525;2;1;17.56
2526;1;2;20.8
2526;2;2;58.36
2527;1;3;85.64
2527;2;6;64.72
2528;1;16;25.66
2528;2;29;22.56
2529;1;1;45.8
2529;2;5;57.4
2530;1;3;15.8
2530;2;4;36.65
2531;1;5;20.8
2531;2;1;39.33
2532;1;2;57.98
2532;2;1;41.6
2533;1;1;38.2
2533;2;1;20.8
2534;1;1;20.8
2534;2;3;20.8
2535;1;1;20.8
2535;2;3;20.8
2536;1;2;49.79
2536;2;4;53.78
2537;1;6;66.99
2537;2;29;73.27
2538;1;1;20.8
2538;2;1;25.66
2539;1;7;30
2539;2;6;83.1
2540;1;3;45.8
2540;2;2;45.97
2541;1;14;41.6
2541;2;1;41.6
2542;1;1;20.8
2542;2;2;67.85
2543;1;2;20.8
2543;2;2;25.66
2544;1;1;48.32
2544;2;4;33.49
2545;1;1;20.8
2545;2;2;25.66
2546;1;2;15.8
2546;2;6;51.56
2547;1;4;91.46
2547;2;7;64.05
2548;1;2;20.8
2548;2;1;16.76
2549;1;1;28.99
2549;2;1;20.8
2550;1;2;48.18
2550;2;3;50.08
2551;1;1;50
2551;2;1;21.6
2552;1;1;58.2
2552;2;2;62.4
2553;1;2;25.66
2553;2;3;30
2554;1;7;33.2
2554;2;1;25
2555;1;1;62.44
2555;2;2;57.52
2556;1;3;50.08
2556;2;6;25.66
2557;1;11;41.8
2557;2;14;96.28
2558;1;5;20.8
2558;2;1;33.04
2559;1;3;59.33
2559;2;3;20.8
2560;1;2;20.8
2560;2;1;22.56
2561;1;1;20.8
2561;2;1;41.6
2562;1;1;20.8
2562;2;1;20.8
2563;1;1;20.8
2563;2;1;20.99
2564;1;2;20.8
2564;2;1;20.8
2565;1;2;58.22
2565;2;1;66.32
2566;1;1;20.8
2566;2;2;20.8
2567;1;1;52.82
2567;2;4;21.6
2568;1;3;37.56
2568;2;3;32.56
2569;1;1;20.8
2569;2;1;20.8
2570;1;1;20.8
2570;2;2;20.8
2571;1;8;20.8
2571;2;1;20.8
2572;1;3;20.8
2572;2;1;28.99
2573;1;1;41.6
2573;2;4;62.26
2574;1;5;27.52
2574;2;5;26
2575;1;1;28.99
2575;2;2;20.8
2576;1;1;37.4
2576;2;1;34.17
2577;1;2;41.6
2577;2;1;20.8
2578;1;1;27.52
2578;2;2;22.56
2579;1;1;22.73
2579;2;1;27.9
2580;1;1;41.6
2580;2;1;41.6
2581;1;1;10.8
2581;2;2;62.74
2582;1;1;20.8
2582;2;1;25.18
2583;1;1;25.17
2583;2;2;58.2
2584;1;1;38.2
2584;2;1;22.56
2585;1;2;56.73
2585;2;1;44.54
2586;1;2;55.01
2586;2;3;61.98
2587;1;1;27.52
2587;2;2;20.8
2588;1;1;79.07
2588;2;5;37.75
2589;1;2;64.58
2589;2;1;42.26
2590;1;1;45.71
2590;2;6;37.41
2591;1;1;46.67
2591;2;4;20.8
2592;1;3;35.51
2592;2;2;25.66
2593;1;5;38.2
2593;2;1;75.83
2594;1;3;20.8
2594;2;1;16.76
2595;1;3;27.52
2595;2;6;39.87
2596;1;14;30
2596;2;9;30
2597;1;2;15.8
2597;2;1;20.8
2598;1;2;16.6
2598;2;1;28.99
2599;1;4;38.87
2599;2;3;20.8
2600;1;3;73.03
2600;2;1;16.6
2601;1;1;37.4
2601;2;1;28.99
2602;1;3;17.17
2602;2;6;31.65
2603;1;1;27.52
2603;2;1;27.73
2604;1;3;59.96
2604;2;1;37.6
2605;1;2;25
2605;2;1;20.8
2606;1;1;20.8
2606;2;1;38.2
2607;1;1;22.56
2607;2;1;20.8
2608;1;1;20.8
2608;2;1;29.2
2609;1;4;41.46
2609;2;2;14.76
2610;1;1;20.8
2610;2;1;20.8
2611;1;4;83.37
2611;2;2;33.2
2612;1;1;20.8
2612;2;6;30.18
2613;1;30;30.72
2613;2;9;53.66
2614;1;4;55.12
2614;2;15;41.46
2615;1;1;20.8
2615;2;2;20.8
2616;1;2;20.8
2616;2;3;25.66
2617;1;1;20.8
2617;2;1;25
2618;1;1;38.2
2618;2;6;27.52
2619;1;3;75.8
2619;2;2;25.66
2620;1;2;25
2620;2;1;44.12
2621;1;4;80.55
2621;2;7;47.94
2622;1;1;28.99
2622;2;1;25.97
2623;1;1;69.12
2623;2;3;74.83
2624;1;3;54.17
2624;2;4;80.12
2625;1;4;27.52
2625;2;1;82.12
2626;1;5;35.25
2626;2;1;35.25
2627;1;3;62.4
2627;2;7;41.76
2628;1;4;37.19
2628;2;8;27.9
2629;1;2;41.77
2629;2;1;31.49
2630;1;9;62.09
2630;2;1;39.25
2631;1;6;60.13
2631;2;2;34.65
2632;1;9;60.13
2632;2;3;45.16
2633;1;3;25.54
2633;2;9;22.17
2634;1;15;93.88
2634;2;1;53.96
2635;1;5;53.09
2635;2;1;68.86
2636;1;6;39.83
2636;2;3;60.28
2637;1;1;27.52
2637;2;2;42.4
2638;1;2;20.8
2638;2;2;20.8
2639;1;1;72.06
2639;2;2;87.05
2640;1;1;81.52
2640;2;2;85.73
2641;1;1;71.22
2641;2;3;64.54
2642;1;6;76.72
2642;2;7;20.8
2643;1;1;16.6
2643;2;1;16.6
2644;1;1;20.8
2644;2;2;28.99
2645;1;2;20.8
2645;2;3;20.8
2646;1;1;41.6
2646;2;1;20.8
2647;1;1;43.91
2647;2;1;58.36
2648;1;1;39.71
2648;2;2;25.66
2649;1;1;20.8
2649;2;1;15.8
2650;1;1;52.5
2650;2;1;105.5
2651;1;1;22.56
2651;2;1;46.32
2652;1;1;28.99
2652;2;2;45.66
2653;1;4;22.1
2653;2;16;44.13
2654;1;1;41.6
2654;2;7;51.76
2655;1;16;40.97
2655;2;3;38.2
2656;1;7;44.49
2656;2;2;37.4
2657;1;1;41.77
2657;2;1;45.12
2658;1;1;25.17
2658;2;6;45.59
2659;1;1;25
2659;2;2;27.52
2660;1;1;30
2660;2;3;104.33
2661;1;1;38.2
2661;2;1;25.66
2662;1;14;83.03
2662;2;20;56.92
2663;1;5;16.76
2663;2;2;45.29
2664;1;1;20.8
2664;2;8;57.66
2665;1;2;27.52
2665;2;2;27.9
2666;1;1;20.8
2666;2;1;20.8
2667;1;1;50
2667;2;3;60.3
2668;1;1;70.49
2668;2;2;93.95
2669;1;1;20.8
2669;2;1;23.91
2670;1;3;41.79
2670;2;3;87.26
2671;1;2;20.8
2671;2;1;25.66
2672;1;1;38.2
2672;2;2;62.26
2673;1;1;90.94
2673;2;1;65.95
2674;1;1;52.69
2674;2;9;20.8
2675;1;5;21.66
2675;2;1;21.66
2676;1;1;27.69
2676;2;2;30
2677;1;10;33.04
2677;2;4;25
2678;1;2;20.8
2678;2;1;33.37
2679;1;3;20.8
2679;2;1;16.76
2680;1;1;31.28
2680;2;2;48.32
2681;1;5;20.8
2681;2;4;23.11
2682;1;1;41.6
2682;2;2;62.57
2683;1;3;43.1
2683;2;2;36.5
2684;1;1;27.52
2684;2;1;22.56
2685;1;2;46.32
2685;2;2;34.36
2686;1;1;41.6
2686;2;2;40.83
2687;1;8;48.13
2687;2;7;41.97
2688;1;1;27.73
2688;2;1;34.83
2689;1;1;42.4
2689;2;1;20.8
2690;1;15;75.01
2690;2;23;63.46
2691;1;4;20.8
2691;2;5;25.66
2692;1;1;35.68
2692;2;3;30
2693;1;1;20.8
2693;2;2;34.17
2694;1;2;95.58
2694;2;3;38.77
2695;1;1;20.8
2695;2;1;44.12
2696;1;4;25.8
2696;2;4;25.17
2697;1;3;20.8
2697;2;2;22.56
2698;1;1;48.32
2698;2;4;43.32
2699;1;7;43.91
2699;2;2;41.76
2700;1;3;58.2
2700;2;1;46.27
2701;1;1;49.79
2701;2;7;44.71
2702;1;3;28.99
2702;2;1;25.66
2703;1;1;20.8
2703;2;2;20.8
2704;1;1;49.79
2704;2;1;22.56
2705;1;4;50.37
2705;2;20;33.52
2706;1;5;30
2706;2;2;15.5
2707;1;4;27.52
2707;2;11;23.11
2708;1;10;24.24
2708;2;5;31.68
2709;1;1;20.8
2709;2;2;46.6
2710;1;1;38.2
2710;2;1;65.92
2711;1;1;21.61
2711;2;6;16.76
2712;1;1;41.6
2712;2;1;41.72
2713;1;7;33.57
2713;2;2;37.76
2714;1;3;37.4
2714;2;3;22.73
2715;1;3;82.81
2715;2;4;70.98
2716;1;2;39.71
2716;2;3;25.66
2717;1;4;20.8
2717;2;7;20.8
2718;1;3;20.8
2718;2;1;20.8
2719;1;1;43.22
2719;2;4;37.73
2720;1;1;45.8
2720;2;6;25.66
2721;1;2;64.71
2721;2;2;102.34
2722;1;7;43.32
2722;2;1;37.59
2723;1;13;20.8
2723;2;22;23.9
2724;1;1;30
2724;2;1;25.66
2725;1;3;30
2725;2;6;46.32
2726;1;3;74.83
2726;2;2;64.22
2727;1;1;20.8
2727;2;1;25.66
2728;1;3;38.2
2728;2;1;42.26
2729;1;2;15.8
2729;2;9;47.57
2730;1;5;53.3
2730;2;11;45.81
2731;1;12;23.11
2731;2;6;20.8
2732;1;1;22.56
2732;2;2;23.91
2733;1;2;22.56
2733;2;1;42.26
2734;1;5;50
2734;2;2;22.02
2735;1;2;74.8
2735;2;3;159.08
2736;1;2;58.22
2736;2;1;20.17
2737;1;1;43.15
2737;2;1;25.97
2738;1;2;23.28
2738;2;1;23.28
2739;1;7;49.97
2739;2;12;33.48
2740;1;2;22.31
2740;2;2;27.21
2741;1;2;22.56
2741;2;2;25.66
2742;1;1;29.97
2742;2;3;49.02
2743;1;1;20.8
2743;2;1;16.76
2744;1;2;21.6
2744;2;1;25.66
2745;1;1;38.2
2745;2;3;49.79
2746;1;1;32.1
2746;2;2;20.8
2747;1;1;50.08
2747;2;9;33.49
2748;1;1;20.8
2748;2;1;16.76
2749;1;1;20.8
2749;2;1;30
2750;1;6;85.16
2750;2;2;74.75
2751;1;1;28.99
2751;2;4;41.6
2752;1;3;64.5
2752;2;1;39.9
2753;1;16;63.62
2753;2;12;40.34
2754;1;8;50.26
2754;2;6;52.32
2755;1;1;16.76
2755;2;11;25.17
2756;1;2;39.16
2756;2;6;42.26
2757;1;5;26
2757;2;2;26
2758;1;1;20.8
2758;2;1;48.18
2759;1;6;36.6
2759;2;6;50.66
2760;1;1;71.43
2760;2;1;39.71
2761;1;1;20.8
2761;2;2;33.42
2762;1;1;15.8
2762;2;6;72.9
2763;1;1;40.12
2763;2;1;45.83
2764;1;3;21.6
2764;2;23;48.9
2765;1;1;22.56
2765;2;1;20.8
2766;1;2;48.18
2766;2;8;36.8
2767;1;1;20.8
2767;2;2;27.52
2768;1;1;20.8
2768;2;2;20.8
2769;1;2;16.6
2769;2;2;16.76
2770;1;1;66.39
2770;2;1;71.51
2771;1;1;41.6
2771;2;1;76.95
2772;1;1;22.56
2772;2;2;25
2773;1;4;15.8
2773;2;8;34.36
2774;1;2;21.6
2774;2;3;25.66
2775;1;1;50.08
2775;2;2;87.48
2776;1;1;26.68
2776;2;6;56.3
2777;1;18;33.57
2777;2;16;30.02
2778;1;2;20.8
2778;2;7;22.56
2779;1;5;39.71
2779;2;7;45.12
2780;1;7;26
2780;2;1;70.59
2781;1;1;18.91
2781;2;1;20.8
2782;1;2;57.98
2782;2;1;75.12
2783;1;2;28.99
2783;2;2;25.66
2784;1;1;20.8
2784;2;1;25.66
2785;1;3;98.14
2785;2;6;66.62
2786;1;1;20.8
2786;2;2;16.76
2787;1;5;25.66
2787;2;1;22.56
2788;1;2;20.8
2788;2;1;22.52
2789;1;1;20.8
2789;2;4;16.76
2790;1;1;28.99
2790;2;1;51.48
2791;1;2;23.11
2791;2;3;25
2792;1;2;22.56
2792;2;3;76.66
2793;1;3;37.26
2793;2;3;23.11
2794;1;1;44.79
2794;2;1;15.8
2795;1;1;28.99
2795;2;1;55.04
2796;1;1;20.8
2796;2;4;71.07
2797;1;4;16.76
2797;2;3;41.46
2798;1;4;66.6
2798;2;1;53.99
2799;1;5;33.52
2799;2;1;46.32
2800;1;4;54.42
2800;2;4;50.74
2801;1;3;73.9
2801;2;2;75.17
2802;1;2;20.8
2802;2;5;20.8
2803;1;1;23.86
2803;2;1;40.46
2804;1;1;20.8
2804;2;2;20.8
2805;1;1;20.8
2805;2;1;25.66
2806;1;1;45.97
2806;2;1;49.79
2807;1;1;53.99
2807;2;1;25
2808;1;1;50.08
2808;2;2;25.66
2809;1;3;20.8
2809;2;4;39.7
2810;1;1;27.52
2810;2;2;20.8
2811;1;8;44.97
2811;2;7;54.37
2812;1;4;20.8
2812;2;1;20.8
2813;1;1;20.8
2813;2;3;45.97
2814;1;2;49.8
2814;2;1;49
2815;1;3;52.72
2815;2;2;57.31
2816;1;1;48.07
2816;2;1;64.37
2817;1;1;20.8
2817;2;1;30.01
2818;1;5;48.62
2818;2;3;62.27
2819;1;1;28.99
2819;2;3;22.56
2820;1;11;22.57
2820;2;19;86.26
2821;1;2;42.23
2821;2;2;41.46
2822;1;1;48.32
2822;2;4;22.73
2823;1;1;66.39
2823;2;3;25.17
2824;1;1;20.8
2824;2;2;45.8
2825;1;1;27.52
2825;2;1;25.66
2826;1;5;39.12
2826;2;9;35.66
2827;1;16;50.17
2827;2;2;46.76
2828;1;1;20.8
2828;2;1;46.32
2829;1;3;22.73
2829;2;2;16.6
2830;1;1;22.56
2830;2;2;45.83
2831;1;1;20.8
2831;2;2;20.8
2832;1;1;20.8
2832;2;2;25.66
2833;1;4;47.73
2833;2;1;43.53
2834;1;1;47.56
2834;2;2;25.66
2835;1;2;28.99
2835;2;11;33.57
2836;1;2;74.78
2836;2;3;57.4
2837;1;8;78.48
2837;2;2;60.56
2838;1;1;20.8
2838;2;1;42.4
2839;1;1;27.73
2839;2;3;27.73
2840;1;2;48.32
2840;2;6;25.17
2841;1;1;20.8
2841;2;1;20.8
2842;1;1;27.52
2842;2;3;25.66
2843;1;5;62.31
2843;2;6;25.17
2844;1;14;33.36
2844;2;2;29.37
2845;1;1;20.8
2845;2;1;21.6
2846;1;1;20.8
2846;2;1;41.46
2847;1;1;41.6
2847;2;1;20.8
2848;1;8;40.83
2848;2;2;20.8
2849;1;2;20.8
2849;2;3;58.12
2850;1;3;28.99
2850;2;2;12.39
2851;1;4;42.4
2851;2;5;30.17
2852;1;1;20.8
2852;2;2;25.66
2853;1;5;25.66
2853;2;3;66.6
2854;1;3;69.76
2854;2;1;37.56
2855;1;2;20.8
2855;2;1;30.18
2856;1;5;59.47
2856;2;14;56.4
2857;1;3;20.8
2857;2;2;20.8
2858;1;1;38.2
2858;2;2;38.2
2859;1;8;22.52
2859;2;6;20.8
2860;1;1;71.43
2860;2;9;25.17
2861;1;2;62.4
2861;2;1;51.17
2862;1;4;59.16
2862;2;6;37.59
2863;1;1;20.8
2863;2;1;25.66
2864;1;5;87.37
2864;2;5;37.4
2865;1;1;20.8
2865;2;2;18.11
2866;1;1;20.8
2866;2;2;25.66
2867;1;8;25.66
2867;2;1;16.76
2868;1;2;60.74
2868;2;5;33.2
2869;1;1;50.08
2869;2;3;53.18
2870;1;7;49.4
2870;2;9;16.76
2871;1;2;15.8
2871;2;8;40.34
2872;1;3;25
2872;2;3;18.9
2873;1;2;58.62
2873;2;1;21.6
2874;1;2;19.66
2874;2;2;29.21
2875;1;1;20.8
2875;2;1;20.8
2876;1;4;30.01
2876;2;1;70.8
2877;1;1;20.8
2877;2;1;49.79
2878;1;1;20.8
2878;2;4;38.4
2879;1;2;59.67
