"date","users","newUsers","sessions","bounces","sessionDuration","pageviews","avgTimeOnPage","userGender","bouncesHigh"
20140924,15,10,16,11,777,34,43.0555555555556,"female",">=10 bounces"
20140924,18,13,20,15,3395,41,161.666666666667,"male",">=10 bounces"
20140925,11,9,11,5,1699,19,212.375,"female","<10 bounces"
20140925,16,13,18,12,2504,37,131.789473684211,"male",">=10 bounces"
20140926,13,10,15,11,916,20,183.2,"female",">=10 bounces"
20140927,10,8,10,4,573,20,57.4,"male","<10 bounces"
20140928,11,7,11,4,1614,20,179.333333333333,"male","<10 bounces"
20140929,11,9,12,8,110,17,22.2,"male","<10 bounces"
20140930,11,10,11,9,150,15,37.5,"female","<10 bounces"
20140930,16,15,17,12,619,29,51.5833333333333,"male",">=10 bounces"
